name;street;postal;city
Cap Sciences;Rue de Rodeuhaie;1348;Ottignies-Louvain-la-Neuve
house;31 Rue du Cardinal;1000;Bruxelles
Ecole communale Qui bouge - N 13;Rue de Koninck 63;1080;Molenbeek-Saint-Jean
Institut Sainte-Ursule - Section fondamentale;Avenue Victor Rousseau 46-48;1190;Forest
